Fechas Referencia,Am,Dc,Gc,Explotacion,Id Punto,Contrato,Direccion,Localidad,Contador,Marca,Modelo,Calibre,Fecha Instalacion,Modulo,Tipo Telelectura,Sistema,Telelectura Ov,Uso,Actividad,Zona,Barrio,Sector,Subsector
1950-01-01 / 2023-11-08,DR ANDALUCIA,ANDALUCIA,GT EMASAGRA,EMASAGRA-GRANADA,7573759,10354527,,GRANADA,I16BA330846X,ITRON,FLODIS LRF,13,15/3/2017,D1509080J,VHF - Contador sistema Suez,Leer por telelectura,S,DOMESTICO,VIVIENDAS,G16, ,S87 BOLA DE ORO ALTA, 
1950-01-01 / 2023-11-08,DR ANDALUCIA,ANDALUCIA,GT EMASAGRA,EMASAGRA-GRANADA,3557155,4265381,,GRANADA,P21FA015614X,CONTAZARA,CZ4000RI,13,11/11/2021,32053CFER,VHF - Contador sistema Suez,Leer manualmente,N,COMERCIAL,FUENTES PUBLICAS,G33, ,SECTOR 15. MARIANA PINEDA, 
1950-01-01 / 2023-11-08,DR ANDALUCIA,ANDALUCIA,GT EMASAGRA,EMASAGRA-GRANADA,7354174,11125435,,GRANADA,P21FA026069D,CONTAZARA,CZ4000RI,13,8/8/2022,320565D5J,VHF - Contador sistema Suez,Ambos,N,DOMESTICO,VIVIENDAS,G32, ,SECTOR 15. MARIANA PINEDA, 
1950-01-01 / 2023-11-08,DR ANDALUCIA,ANDALUCIA,GT EMASAGRA,EMASAGRA-GRANADA,7569729,9691064,,GRANADA,I21LA333612M,ITRON,AQUADIS + C,13,14/2/2022,"2,69721E+15",VHF - Contador sistema Suez,Leer por telelectura,S,DOMESTICO,VIVIENDAS,G16, ,S87 BOLA DE ORO ALTA, 
1950-01-01 / 2023-11-08,DR ANDALUCIA,ANDALUCIA,GT EMASAGRA,EMASAGRA-GRANADA,7569741,9691094,,GRANADA,I22BA000632E,ITRON,FLODIS,13,3/2/2022,"2,69721E+15",VHF - Contador sistema Suez,Leer por telelectura,S,DOMESTICO,VIVIENDAS,G16, ,S87 BOLA DE ORO ALTA, 
1950-01-01 / 2023-11-08,DR ANDALUCIA,ANDALUCIA,GT EMASAGRA,EMASAGRA-GRANADA,7569744,9691152,,GRANADA,I22BA136194W,ITRON,FLOSTAR M,13,13/10/2023,"2,69722E+15",VHF - Contador sistema Suez,Leer por telelectura,S,DOMESTICO,VIVIENDAS,G16, ,S88 COLINA DEL SERRALLO, 
1950-01-01 / 2023-11-08,DR ANDALUCIA,ANDALUCIA,GT EMASAGRA,EMASAGRA-GRANADA,7569753,9691140,,GRANADA,I16BA330861W,ITRON,FLODIS LRF,13,1/3/2017,D1508C51G,VHF - Contador sistema Suez,Ambos,N,COMERCIAL,USOS COMUNITARIOS,G16, ,S88 COLINA DEL SERRALLO, 
1950-01-01 / 2023-11-08,DR ANDALUCIA,ANDALUCIA,GT EMASAGRA,EMASAGRA-GRANADA,7569773,9694050,,GRANADA,P21FA015972Q,CONTAZARA,CZ4000RI,13,19/11/2021,32053E64Z,VHF - Contador sistema Suez,Leer por telelectura,S,DOMESTICO,VIVIENDAS,G16, ,S87 BOLA DE ORO ALTA, 
1950-01-01 / 2023-11-08,DR ANDALUCIA,ANDALUCIA,GT EMASAGRA,EMASAGRA-GRANADA,7569785,9694000,,GRANADA,P21FA015971P,CONTAZARA,CZ4000RI,13,19/11/2021,32053E63Y,VHF - Contador sistema Suez,Leer por telelectura,S,DOMESTICO,VIVIENDAS,G16, ,S87 BOLA DE ORO ALTA, 
1950-01-01 / 2023-11-08,DR ANDALUCIA,ANDALUCIA,GT EMASAGRA,EMASAGRA-GRANADA,7569777,9694092,,GRANADA,P21FA015973R,CONTAZARA,CZ4000RI,13,19/11/2021,32053E65A,VHF - Contador sistema Suez,Leer por telelectura,S,DOMESTICO,VIVIENDAS,G16, ,S87 BOLA DE ORO ALTA, 
1950-01-01 / 2023-11-08,DR ANDALUCIA,ANDALUCIA,GT EMASAGRA,EMASAGRA-GRANADA,7569782,9694148,,GRANADA,P21FA016219U,CONTAZARA,CZ4000RI,13,19/11/2021,32053F5BX,VHF - Contador sistema Suez,Leer por telelectura,S,DOMESTICO,VIVIENDAS,G16, ,S87 BOLA DE ORO ALTA, 
1950-01-01 / 2023-11-08,DR ANDALUCIA,ANDALUCIA,GT EMASAGRA,EMASAGRA-GRANADA,7569780,9694128,,GRANADA,P21FA015967T,CONTAZARA,CZ4000RI,13,19/11/2021,32053E5FY,VHF - Contador sistema Suez,Ambos,N,DOMESTICO,VIVIENDAS,G16, ,S87 BOLA DE ORO ALTA, 
1950-01-01 / 2023-11-08,DR ANDALUCIA,ANDALUCIA,GT EMASAGRA,EMASAGRA-GRANADA,7569786,9694201,,GRANADA,P21FA016224R,CONTAZARA,CZ4000RI,13,19/11/2021,32053F60Y,VHF - Contador sistema Suez,Leer por telelectura,S,COMERCIAL,RIEGOS Y PISCINAS PARTICULARES,G16, ,S87 BOLA DE ORO ALTA, 
1950-01-01 / 2023-11-08,DR ANDALUCIA,ANDALUCIA,GT EMASAGRA,EMASAGRA-GRANADA,7569779,9694022,,GRANADA,P21FA016069Y,CONTAZARA,CZ4000RI,13,19/11/2021,32053EC5S,VHF - Contador sistema Suez,Leer por telelectura,S,DOMESTICO,VIVIENDAS,G16, ,S87 BOLA DE ORO ALTA, 
1950-01-01 / 2023-11-08,DR ANDALUCIA,ANDALUCIA,GT EMASAGRA,EMASAGRA-GRANADA,7569778,9694002,,GRANADA,P21FA016223Q,CONTAZARA,CZ4000RI,13,19/11/2021,32053F5FB,VHF - Contador sistema Suez,Ambos,N,DOMESTICO,VIVIENDAS,G16, ,S87 BOLA DE ORO ALTA, 
1950-01-01 / 2023-11-08,DR ANDALUCIA,ANDALUCIA,GT EMASAGRA,EMASAGRA-GRANADA,7569776,9694080,,GRANADA,P21FA016217S,CONTAZARA,CZ4000RI,13,19/11/2021,32053F59F,VHF - Contador sistema Suez,Leer por telelectura,S,DOMESTICO,VIVIENDAS,G16, ,S87 BOLA DE ORO ALTA, 
1950-01-01 / 2023-11-08,DR ANDALUCIA,ANDALUCIA,GT EMASAGRA,EMASAGRA-GRANADA,7569783,9694101,,GRANADA,P21FA016068X,CONTAZARA,CZ4000RI,13,19/11/2021,32053EC4R,VHF - Contador sistema Suez,Leer por telelectura,S,DOMESTICO,VIVIENDAS,G16, ,S87 BOLA DE ORO ALTA, 
1950-01-01 / 2023-11-08,DR ANDALUCIA,ANDALUCIA,GT EMASAGRA,EMASAGRA-GRANADA,7569772,9694042,,GRANADA,P21FA016218T,CONTAZARA,CZ4000RI,13,19/11/2021,32053F5AW,VHF - Contador sistema Suez,Leer por telelectura,S,DOMESTICO,VIVIENDAS,G16, ,S87 BOLA DE ORO ALTA, 
1950-01-01 / 2023-11-08,DR ANDALUCIA,ANDALUCIA,GT EMASAGRA,EMASAGRA-GRANADA,7569781,9694139,,GRANADA,P21FA016225S,CONTAZARA,CZ4000RI,13,19/11/2021,32053F61Z,VHF - Contador sistema Suez,Ambos,N,DOMESTICO,VIVIENDAS,G16, ,S87 BOLA DE ORO ALTA, 
1950-01-01 / 2023-11-08,DR ANDALUCIA,ANDALUCIA,GT EMASAGRA,EMASAGRA-GRANADA,7569784,9694110,,GRANADA,P21FA016221O,CONTAZARA,CZ4000RI,13,19/11/2021,32053E66B,VHF - Contador sistema Suez,Ambos,N,DOMESTICO,VIVIENDAS,G16, ,S87 BOLA DE ORO ALTA, 
1950-01-01 / 2023-11-08,DR ANDALUCIA,ANDALUCIA,GT EMASAGRA,EMASAGRA-GRANADA,7569771,9694033,,GRANADA,P21FA015974S,CONTAZARA,CZ4000RI,13,19/11/2021,32053F5DZ,VHF - Contador sistema Suez,Ambos,N,DOMESTICO,VIVIENDAS,G16, ,S87 BOLA DE ORO ALTA, 
